Monitor Combo 36180
land,《コイロスの洞窟/Caves of Koilos》,3,300,http://www.hareruyamtg.com/jp/g/gORI000245JN/,2016-05-11T22:56:38+09:00
land,《進化する未開地/Evolving Wilds》,4,20,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,2016-05-11T22:56:40+09:00
land,《森/Forest》,3,20,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,2016-05-11T22:56:41+09:00
land,《島/Island》,1,20,http://www.hareruyamtg.com/jp/g/gSOI000288JN/,2016-05-11T22:56:41+09:00
land,《ラノワールの荒原/Llanowar Wastes》,4,500,http://www.hareruyamtg.com/jp/g/gORI000248JN/,2016-05-11T22:56:54+09:00
land,《平地/Plains》,1,20,http://www.hareruyamtg.com/jp/g/gSOI000285JN/,2016-05-11T22:56:55+09:00
land,《沼/Swamp》,1,20,http://www.hareruyamtg.com/jp/g/gSOI000291JN/,2016-05-11T22:56:56+09:00
land,《ウェストヴェイルの修道院/Westvale Abbey》,3,1500,http://www.hareruyamtg.com/jp/g/gSOI000281JN/,2016-05-11T22:56:58+09:00
land,《ヤヴィマヤの沿岸/Yavimaya Coast》,4,250,http://www.hareruyamtg.com/jp/g/gORI000252JN/,2016-05-11T22:57:00+09:00
24 Lands 8600
creature,《血統の観察者/Brood Monitor》,3,20,http://www.hareruyamtg.com/jp/g/gBFZ000164JN/,2016-05-11T22:57:25+09:00
creature,《地下墓地の選別者/Catacomb Sifter》,4,30,http://www.hareruyamtg.com/jp/g/gBFZ000201JN/,2016-05-11T22:57:48+09:00
creature,《薄暮見の徴募兵/Duskwatch Recruiter》,4,250,http://www.hareruyamtg.com/jp/g/gSOI000203JN/,2016-05-11T22:57:50+09:00
creature,《変位エルドラージ/Eldrazi Displacer》,4,800,http://www.hareruyamtg.com/jp/g/gOGW000013JN/,2016-05-11T22:57:52+09:00
creature,《エルフの幻想家/Elvish Visionary》,4,30,http://www.hareruyamtg.com/jp/g/gORI000175JN/,2016-05-11T22:57:53+09:00
creature,《壌土のドライアド/Loam Dryad》,4,30,http://www.hareruyamtg.com/jp/g/gSOI000216JN/,2016-05-11T22:57:56+09:00
creature,《反射魔道士/Reflector Mage》,4,180,http://www.hareruyamtg.com/jp/g/gOGW000157JN/,2016-05-11T22:57:57+09:00
creature,《ズーラポートの殺し屋/Zulaport Cutthroat》,2,90,http://www.hareruyamtg.com/jp/g/gBFZ000126JN/,2016-05-11T22:57:59+09:00
29 Creatures 5520
spell,《集合した中隊/Collected Company》,4,2800,http://www.hareruyamtg.com/jp/g/gDTK000026JN/,2016-05-11T22:58:00+09:00
spell,《謎の石の儀式/Cryptolith Rite》,3,950,http://www.hareruyamtg.com/jp/g/gSOI000200JN/,2016-05-11T22:58:26+09:00
7 Spells 14050
60 MainboardCards 28170
sideboardCards,《悟った苦行者/Enlightened Ascetic》,1,10,http://www.hareruyamtg.com/jp/g/gORI000012JN/,2016-05-11T22:58:27+09:00
sideboardCards,《肉袋の匪賊/Fleshbag Marauder》,2,30,http://www.hareruyamtg.com/jp/g/gORI000098JN/,2016-05-11T22:58:29+09:00
sideboardCards,《現実を砕くもの/Reality Smasher》,3,1000,http://www.hareruyamtg.com/jp/g/gOGW000007JN/,2016-05-11T22:58:32+09:00
sideboardCards,《森の代言者/Sylvan Advocate》,2,1500,http://www.hareruyamtg.com/jp/g/gOGW000144JN/,2016-05-11T22:58:58+09:00
sideboardCards,《否認/Negate》,3,20,http://www.hareruyamtg.com/jp/g/gOGW000059JN/,2016-05-11T22:59:00+09:00
sideboardCards,《荒野の確保/Secure the Wastes》,1,1200,http://www.hareruyamtg.com/jp/g/gDTK000058JN/,2016-05-11T22:59:01+09:00
sideboardCards,《究極の価格/Ultimate Price》,1,80,http://www.hareruyamtg.com/jp/g/gDTK000144JN/,2016-05-11T22:59:03+09:00
sideboardCards,《精神背信/Transgress the Mind》,2,300,http://www.hareruyamtg.com/jp/g/gBFZ000101JN/,2016-05-11T22:59:05+09:00
15 SideboardCards
http://www.hareruyamtg.com/jp/k/kD01331K/
